"Ich habe den Eindruck, dass die Stimmung gekippt ist.",I have the impression that the mood has changed.
Jedes Jahr an ihrem Hochzeitstag schrieb er seiner Frau ein Gedicht.,Every year on their wedding anniversary he wrote his wife a poem.
Ich bin mutterseelenallein.,I'm all alone.
Seine Kunst scheint keine Tabus zu kennen.,His art seems to know no taboos.
Sie ist immer auf Achse.,She is always on the move.
Bei ihm ist Hopfen und Malz verloren.,He is a hopeless case.
Die FDP hat die Koalitionsgespräche abgebrochen.,The FDP has pulled out of coalition talks.
Kakao ist die Hauptzutat in Schokolade.,Cocoa is the main ingredient in chocolate.
Die Vorderseite des Autos ist eingebeult.,The front of the car is dented.
In Großbritannien kann man seine Steuererklärung online einreichen.,In Great Britain you can file your tax return online.
Okzitanisch gilt als gefährdete Sprache.,Occitan is considered an endangered language.
Ist auf ihn Verlass?,Is he reliable?
Afrikanische Sprachen haben wenige abstrakte Begriffe.,African languages have few abstract terms.
"""Diejenigen, die entscheiden, sind nicht gewählt, und diejenigen, die gewählt werden, haben nichts zu entscheiden.""","""Those who decide are not elected, and those who are elected have nothing to decide."" - Horst Seehofer (German politician)"
Er hat die Grenzen des guten Geschmacks überschritten.,He overstepped the bounds of good taste.
Kennst du den Unterschied zwischen dem Bundestag und Bundesrat?,Do you know the difference between the Bundestag and Bundesrat?
Mallorca ist die Lieblingsinsel der Deutschen.,Majorca is the favourite island of the Germans.
Was schwebt dir vor?,"What do you have in mind? (e.g. future plans, project)"
Meine Großmutter schläft in einem altmodischen Nachthemd.,My grandmother sleeps in an old-fashioned nightshirt.
In unserer Straße hat ein neues Kleidergeschäft aufgemacht.,A new clothes shop has opened on our street.
Haben Pampelmusen viel Vitamin C?,Do grapefruits have a lot of vitamin C?
Nach drei Stunden standen sie endlich vor dem gewaltigen Berg.,"After three hours, they were finally standing in front of the mighty mountain."
Zecken saugen das Blut ihres Wirtes.,Ticks suck their host's blood.
Erdbeerkuchen schmeckt am besten mit Schlagsahne.,Strawberry cake tastes best with whipped cream.
Die Aufnahme von Vitaminen ist sehr wichtig für deine Gesundheit.,The intake of vitamins is very important for your health.
