Starke Frauen weinen heimlich.,Strong women cry in secret.
Sie war das Mädchen meiner Träume.,She was the girl of my dreams.
Er kaufte drei Paar Socken.,He bought three pairs of socks.
Ausnahmen bestätigen die Regel.,Exceptions prove the rule.
Irren ist menschlich.,To err is human.
Schokolade enthält Koffein.,Chocolate contains caffeine.
Sie hat einen schwachen Puls.,She has a faint pulse.
Stehen Sie in der Schlange?,Are you in line?
Ich hätte auf dich hören sollen!,I should have listened to you!
Sie hat einen gesunden Appetit.,She has a healthy appetite.
Herzlichen Dank für die schönen Blumen!,Many thanks for the beautiful flowers!
"Lass den Motor an, wir müssen los.","Start the motor, we have to go."
Sie genießt die Wärme der Sonne.,She is enjoying the warmth of the sun.
Diese Website lädt so langsam!,This website is loading so slowly!
Heute ist es endlich sonnig.,It's finally sunny today.
Immerhin ist er ehrlich!,At least he's honest!
Die Welt gehört dir!,The world is yours!
Rosinen sind getrocknete Trauben.,Raisins are dried grapes.
Wir hatten heute jede Menge Spaß.,We had lots of fun today.
Diese Unterlagen sind nicht vollständig.,These documents are not complete.
Diese Entscheidung war ein Irrtum.,This decision was a mistake.
Du hast Ketchup im Schnurrbart.,You have ketchup in your moustache.
Wie wird dieser Virus übertragen?,How is this virus transmitted?
Das nächste Postamt ist nicht weit.,The next post office is not far.
Tauchen ist ein teures Hobby.,Scuba diving is an expensive hobby.
Er hat weder Brüder noch Schwestern.,He has neither brothers nor sisters.
Die Polizei verfolgte den Einbrecher.,The police chased the burglar.
Kaninchen haben ein weiches Fell.,Rabbits have a soft fur.
Dieses Restaurant akzeptiert nur Bargeld.,This restaurant only accepts cash.
Das Restaurant befindet sich oben.,The restaurant is upstairs.
Er forderte sie zum Tanz auf.,He asked her to dance.
Nächsten Sonnabend bleibe ich zu Hause.,Next Saturday I am not going out.
Kannst du sein Aussehen beschreiben?,Can you describe what he looked like?
Die Wohnung befindet sich im Erdgeschoss.,The flat is on the ground floor.
Die Kartoffeln sind gar.,The potatoes are done
Mir ist übel.,I feel sick.
Die Behandlung war erfolgreich.,The treatment was successful.
Ich stand mitten in der Menge.,I stood amidst the crowd.
Betrug im Internet nimmt immer mehr zu.,Internet scams are on the rise.
Anne ist eine ausgebildete Krankenschwester.,Anne is a trained nurse.
Wer hat das Rad erfunden?,Who invented the wheel?
Krieg ist die Hölle.,War is hell.
Können Sie Ihre Theorie belegen?,Can you prove your theory?
Wie blöd muss man sein!,How stupid can one be!
