Deutschland und Spanien trennen sich 1:1.,The final score between Germany and Spain is 1:1.
Er ist außer sich vor Freude!,He is overjoyed!
Sie will ernst genommen werden.,She wants to be taken seriously.
Alle sind sich einig.,Everyone agrees.
Als Politiker muss man manchmal schwierige Entscheidungen treffen.,"As a politician, sometimes you have to make difficult decisions."
Der Boss hat das durchgesetzt.,The boss has enforced that.
Wilhelm II. war der letzte deutsche Kaiser.,Wilhelm II was the last German Emperor.
Diese Liste ist bei weitem nicht vollständig.,This list is far from complete.
Alles hat Vor- und Nachteile.,Everything has pros and cons.
In Deutschland gilt rechts vor links.,"In Germany the left yields to right. (meaning you give way to the right in traffic, in the USA for example this rule does not apply)"
Dein Dackel ist so putzig!,Your dachshund is so cute!
Seine eigene Schokolade zu machen ist ganz einfach!,Making your own chocolate is very easy!
Spitzkohl ist leider nicht vorrätig.,Pointed cabbage is unfortunately not in stock.
"Niemand wusste, was los war.",Nobody knew what was going on.
Ich mache mir Sorgen um dich!,I'm worried about you!
Das ist doch egal!,It doesn't matter!
Ich bin ja gespannt wie die Wahlen ausgehen!,I'm curious how the elections will turn out!
"Er lässt nachts das Licht an, weil er sich fürchtet.",He leaves the light on at night because he is scared.
"Ich muss zugeben, dass ich neidisch auf ihr Leben bin.",I have to admit that I'm envious of her life.
Dieser Bauernhof pflanzt nur Korn an.,This farm only grows corn.
Sie haben hervorragende Arbeit geleistet.,You have done an outstanding job.
Was ist heute das Tagesgericht?,What is the dish of the day today?
Im Winter gehe ich jeden Morgen ins Hallenbad.,"In winter, I go to the indoor swimming pool every morning."
Hast du deinen Badeanzug eingepackt?,Have you packed your swimsuit?
Manche Menschen werfen ihren Abfall einfach auf die Straße.,Some people just throw their rubbish on the street.
Sie würde niemals ein Geheimnis verraten.,She would never reveal a secret.
Sie hat ihre kranke Mutter lange gepflegt.,She cared for her sick mother for a long time.
Er pflegt gute Beziehungen mit seinen Kunden.,He maintains good relationships with his clients.
Du musst den Verband täglich wechseln.,You have to change the bandage every day.
Dieser Satz steht nicht im Drehbuch!,This sentence doesn't appear in the script!
Du musst dich den Tatsachen stellen.,You have to face the truth.
Meine Kusine arbeitet beim Auswärtigen Amt.,My cousin works for the Ministry of Foreign Affairs.
Er wurde bei einem Überfall verletzt.,He was injured during a robbery.
In dieser Aufnahme sehe ich so jung aus.,I look so young in this picture.
Das ist eine alte Aufnahme meines ersten Liedes.,This is an old recording of my first song.
In welcher Einheit wird Strom gemessen?,What unit is electricity measured in?
Diese Zwetschgen sind noch nicht reif.,These plums aren't ripe yet.
Seine Behauptung stieß auf Widerspruch.,His statement was met with objection.
Hast du schon einen Bikini für deinen Urlaub gekauft?,Have you already bought a bikini for your holiday?
Wie viele Aufrufe hat deine Website pro Monat?,How many views does your website get per month?
"Es tut mir unheimlich leid, das zu hören.",I'm incredibly sorry to hear that.
Eine Kette besteht aus vielen Gliedern.,A chain is made up of many links.
Ich habe Fieber und mir tun alle Glieder weh.,I have a fever and all my limbs are hurting.
Ich will dich nicht mit meinen Problemen belasten.,I don't want to burden you with my problems.
Möchtest du das Geschlecht deines Babys nicht wissen?,Don't you want to know the sex of your baby?
Sie haben einen Aufruf zur Kleiderspende gestartet.,They started an appeal for clothes donations.
Vollkornbrot ist gesünder als Weißbrot.,Wholemeal bread is healthier than white bread.
Ein Vertreter der Regierung äußerte sich zum neuen Gesetz.,A representative of the government commented on the new law.
Er schickte seinen Vertreter zur Besprechung.,He sent his deputy to the meeting.
Diese Säule ist mehr als 1000 Jahre alt.,This column is more than 1000 years old.
Der Bodybuilder hat dicke Adern.,The bodybuilder has thick veins.
"Sie braucht für die Schule Bücher, Hefte, Stifte und so weiter.","She needs books, notebooks, pens, etc. for school."
Unsere Firma eröffnet bald einen neuen Zweig.,Our company is opening a new branch soon.
Sie wurden während ihrer Wanderung von einem Regenschauer überrascht.,They were surprised by a sudden rain shower during their hike.
Ich nehme die Pizza mit Champignons.,I'll have the Pizza with white mushrooms.
Mein neues Auto hat die modernste Ausstattung.,My new car has the latest equipment.
Ihr verhaltet euch wie ein Ehepaar.,You are acting like a married couple.
"Kannst du die Kinder beschäftigen, damit ich arbeiten kann?",Can you keep the children busy so I can work?
Die Firma beschäftigt mehr als 500 Menschen.,The company employs more than 500 people.
Er bekannte sich sofort schuldig.,He immediately confessed his guilt.
Er stieß ihm mit dem Ellenbogen in die Rippen.,He struck him in the ribs with his elbow.
Er war wegen Diebstahls im Gefängnis.,He was in prison for theft.
Das neue Gesetz hat uns nur Nachteile gebracht.,The new law has only brought us disadvantages.
Er nimmt nie Rücksicht auf andere Menschen.,He never shows consideration for other people.
Du siehst besorgt aus. Was beschäftigt dich?,You look worried. What is bothering you?
Ihre kranke Großmutter braucht besondere Pflege.,Their ill grandmother needs special care.
Sein Leben wurde in einem Dokumentarfilm festgehalten.,His life was captured in a documentary.
Meine Patentochter hat morgen Geburtstag.,It is my goddaughter's birthday tomorrow.
Meine neue Wohnung hat sogar eine Spülmaschine.,My new flat even has a dishwasher.
Er zeigte seinen Nachbarn bei der Polizei an.,He reported his neighbour to the police.
Die Vögel sitzen auf dem Zweig.,The birds are sitting on the branch.
In Deutschland haben wir Steckdosen im Badezimmer.,"In Germany, we have power sockets in the bathroom."
Ich bin gerannt und habe es gerade noch zum Zug geschafft.,I ran and only just made it to the train on time.
"Er schaffte es, dem Stein auszuweichen.",He managed to dodge the stone.
Man sollte sich einem Pferd nie von hinten nähern.,You should never approach a horse from behind.
Im Rahmen der Konferenz finden zahlreiche Workshops statt.,Many workshops are being held as part of the conference.
Deine Stirn ist heiß. Wir sollten deine Temperatur messen.,Your forehead is hot. We should measure your temperature.
"Wenn Sie unsere Methode anwenden, werden Sie schnell erfolgreich sein.","If you use our method, you will be successful quickly."
"Ich habe zu viel Zeug, das ich nicht brauche.",I have too much stuff I don't need.
Du bist sehr geschickt mit Nadel und Faden.,You are very skilled with needle and thread.
Sein neues Buch brachte ihm internationale Anerkennung.,His new book brought him international recognition.
Die Definition des Wortes findest du in Klammern.,You can find the definition of the word in brackets.
Niemand rechnete im Juni mit Hagel.,Nobody expected hail in June.
"Du kannst nicht etwas verkaufen, wofür es keinen Bedarf gibt.",You can't sell something there is no demand for.
Seine Patentante schenkt ihm jedes Jahr Geld zum Geburtstag.,His godmother gives him money for his birthday every year.
Beige steht ihr am besten.,Beige suits her best.
Sie sollten diesen BH mit der Hand waschen.,You should wash this bra by hand.
Manche Menschen haben kein Mitgefühl mit Obdachlosen.,Some people have no empathy for the homeless.
Ich fühle mich in diesem Land nicht sicher.,I don't feel safe in this country.
Es regnet. Setz deine Kapuze auf.,It's raining. Put on your hood.
