Das Anheben der Beine sorgt oft für eine vorübergehende Linderung der Symptome.,Elevating the legs often provides temporary symptomatic relief.
Das Verhältnis zu ihrer Familie ist zerrüttet.,The relationship with her family is broken.
Die Deutschen werden oft als ein Volk der Dichter und Denker bezeichnet.,The Germans are often referred to as a nation of poets and thinkers.
"Ein Skelett kommt in eine Bar und sagt: ""Ein Bier und ein Lappen, bitte!""","A skeleton walks into a bar and says: ""A beer and a rag, please!"""
Was hat der kleine Tim jetzt schon wieder ausgefressen?,What has little Tim been up to again?
"Das war nur eine Modeerscheinung, die schnell wieder verschwand.",That was just a fad that disappeared quickly.
"Nachdem er von einem Waschbären gebissen worden war, erkrankte er an Tollwut.",After being bitten by a raccoon he contracted rabies.
Nach dem Anschlag kreisten Hubschrauber über der Gegend.,"After the attack, helicopters circled over the area."
"Denk ich an Deutschland in der Nacht, dann bin ich um den Schlaf gebracht.","Thinking of Germany at night, puts all thought of sleep to flight. (famous verse from Heinrich Heine)"
"Er hat keine leiblichen Kinder, ist aber Stiefvater von Klara.","He has no biological children, but he is the stepfather of Klara."
Die Würde des Menschen ist unantastbar.,"Human dignity is inviolable. (often quoted sentence of the German basic law, the Grundgesetz)"
Merkels Rede in München ging in einem Pfeifkonzert unter.,Merkel's speech in Munich was drowned out by catcalls.
"Es ist nicht einfach, seine Bestimmung im Leben zu finden.",It is not easy to find one's purpose in life.
Verteile den Teig gleichmäßig auf dem Backblech.,Spread the dough evenly on the baking tray.
Es ist so kalt und du hast nur ein T-Shirt an!,"It's so cold, and you're only wearing a T-shirt!"
Das Flugzeug stürzte auf seinem Jungfernflug ab.,The plane crashed on its maiden flight.
Gestern kam es erneut zu Ausschreitungen zwischen Demonstranten und der Polizei.,Clashes between protesters and the police occurred again yesterday.
Stumpfsinniges Saufen ist nicht mein Ding.,Mindless boozing is not my thing.
Wenden Sie Ihre Kleidungsstücke vor dem Bügeln von innen nach außen.,Turn your clothes inside out before ironing them.
In Thailand kann man günstig ein Auto mit Fahrer mieten.,"In Thailand, it is cheap to hire a car with a chauffeur."
Die Zubereitung indischer Speisen ist sehr zeitintensiv.,Preparing Indian food is very time-consuming.
Ich habe mir für das Bewerbungsgespräch eine hellblaue Bluse gekauft.,I bought a light blue blouse for my job interview.
In das Bergdorf gelangen Sie nur über eine gefährliche Straße.,You can only reach the mountain village via a dangerous road.
"Er bekam einen riesigen Schreck, als die Erde plötzlich anfing zu beben.",He got very scared when the ground suddenly started to shake.
Bei der Arbeit im Labor muss er einen Kittel tragen.,He has to wear a smock while working in the laboratory.
Meine Großmutter mütterlicherseits ist schon 97 Jahre alt.,My maternal grandmother is already 97 years old.
"In der Schweiz und im Fürstentum Liechtenstein wird das ""ß"" nicht verwendet, sondern durch ""ss"" ersetzt.","In Switzerland and the Principality of Liechtenstein ""ß"" is not used but replaced by ""ss""."
"Sie ist sehr introvertiert, aber ihr Bruder ist sehr gesellig.","She is very introverted, but her brother is very social."
Ihre Tätigkeit als Ärztin bringt viel Verantwortung mit sich.,Her work as a doctor comes with a lot of responsibility.
Sie betupfte die Wunde mit Jod.,She dabbed the wound with iodine.
Die Kinderlosigkeit ist in Deutschland zu einem echten Problem geworden.,Childlessness has become a real problem in Germany.
"Mehl, Eier, Butter, Zucker und Milch sind die Hauptzutaten für einen Kuchen.","Flour, eggs, butter, sugar and milk are the main ingredients for a cake."
"Keine Sorge, dir wird schon wieder einfallen, wo du die Brille hingelegt hast.",Don't worry. You will soon remember where you put your glasses.
Die Feuchtigkeit im Badezimmer hat zu Schimmel an den Wänden geführt.,The humidity in the bathroom caused the walls to get mouldy.
Meine Patin hat mir ein wunderschönes Kleid zur Kommunion gekauft.,My godmother bought me a beautiful dress for my holy communion.
Bis auf einen einzelnen Baum war der ganze Wald abgeholzt.,"Apart from one single tree, the whole forest was cleared."
"Man sieht wie sie ihre Arbeit liebt, denn sie arbeitet voller Eifer und Enthusiasmus.","You can tell she loves her job, because she works with so much zeal and enthusiasm."
Das Kleid ist mir wie auf den Leib geschneidert.,This dress is practically made for me.
Der Strauch muss fachmännisch beschnitten werden.,The shrub has to be cut properly.
Die Krankenschwester betupft die Schläfe des Patienten.,The nurse dabs the patient's temple.
Er kommt aus einfachen Verhältnissen und baute sich mit Fleiß eine eigene Firma auf.,He has a simple background and built his own company through hard work.
Quinoa schmeckt gut und ist auch glutenfrei.,Quinoa tastes good and is also gluten-free.
In der Schweiz ist es verpönt mit seinem Reichtum zu protzen.,In Switzerland it is frowned upon to show off your wealth.
Er ging mir mit seinem besserwisserischen Gehabe auf die Nerven.,He got on my nerves with his know-it-all behaviour.
Die Rehe traten aus dem Dickicht.,The deer came out of the thicket.
In Deutschland ist die Vielehe verboten.,In Germany polygamy is illegal.
Er ist aufgrund seiner Äußerungen ein hoch umstrittener Politiker.,He is a highly controversial politician because of his statements.
In England haben die Autos das Lenkrad auf der rechten Seite.,"In England, the cars have the steering wheel on the right."
"Mein Zahnarzt ist der Meinung, dass die Anwendung von Amalgam gesundheitsschädlich ist.",My dentist thinks that the use of amalgam is harmful to health.
Er schaute angstvoll als er den Schuss hörte.,He looked anxiously when he heard the gunshot.
"Wir liegen alle in der Gosse, aber einige von uns betrachten die Sterne.","We are all in the gutter, but some of us are looking at the stars. (Oscar Wilde)"
Manche Menschen sind immun gegen guten Rat.,Some people are immune to good advice.
Er war während des Zweiten Weltkrieges ein Mitglied der französischen Résistance.,He was a member of the French resistance during World War II.
Etwa 75 % der Bevölkerung in Bahrain sind Schiiten.,About 75% of the population in Bahrain are Shiites.
Die Flagge des Kosovo ist das Ergebnis eines internationalen Design-Wettbewerbs.,The flag of Kosovo is the result of an international design competition.
Laut NASA ist der Asteroid sicher an der Erde vorbeigezogen.,According to NASA the asteroid has safely passed by Earth.
"Entschuldigung, ich habe Sie fälschlicherweise für jemand anderen gehalten.","Sorry, I've mistaken you for somebody else."
Ein Unbekannter hat eine 26-jährige Frau attackiert und deren Handtasche geraubt.,An unknown person attacked a 26-year-old woman and robbed her handbag.
"""Wie ist deine Gemütslage?"", fragte er in einem sarkastischen Ton.","""How is your mood?"" he asked in a sarcastic tone."
Seine Lieder sind von Schwermut geprägt.,His songs are characterised by melancholy.
Ist dir der Dopplereffekt ein Begriff?,Does the Doppler effect mean anything to you?
Gestern sind sie aus dem Knast getürmt.,Yesterday they broke out of jail.
"Ich weinte lautlos, weil ich nicht wollte, dass die anderen hörten, wie mich das mitnahm.","I cried silently, because I didn't want the others to hear how much this affected me emotionally."
Mein Arzt hat mir die Schulter wieder eingerenkt.,My doctor reset my shoulder.
Das hast du dir selbst eingebrockt!,You brought this upon yourself!
"Wer mit Ungeheuern kämpft, mag zusehen, dass er nicht dabei zum Ungeheuer wird.",He who fights with monsters should take heed that he does not become a monster.
Er ging auf meine Frage gar nicht ein.,He didn't even react to my question.
Heute ist der Strand wie leergefegt.,Today the beach is virtually empty.
"Jedes Mal, wenn ich meine Großmutter besuche, ist sie ein bisschen mehr geschrumpft.",Every time I visit my grandmother she has shrunk a bit more.
Er hielt eine ausgezeichnete Rede über die Ungleichheit in Amerika.,He gave an excellent speech about inequality in America.
Nymphensittiche können durch den Verzehr von Avocados sterben.,Cockatiels can die from eating avocados.
"Mauretanien war das letzte Land in der Welt, das die Sklaverei abgeschafft hat.",Mauritania was the last country in the world to abolish slavery.
Er ist so ein Tyrann! Niemand mag ihn.,He is such a bully! Nobody likes him.
Sie macht immer viel Aufhebens um kleine Dinge.,She always makes a fuss about small things.
"Was sie tun, ist nicht illegal, obwohl es in meinen Augen unmoralisch ist.","What they are doing is not illegal, although in my eyes it is immoral."
"Krankenhäuser sind gesetzlich verpflichtet, Notleidende zu behandeln.",Hospitals are required by law to treat people in need.
Colombo ist die größte Stadt von Sri Lanka.,Colombo is the largest city of Sri Lanka.
"Dinosaurier sind ausgestorben, weil sie nicht auf die Arche Noah passten.",Dinosaurs are extinct because they didn't fit on Noah's Ark.
Die Band kam für eine Zugabe zurück.,The band came back for an encore.
Ich habe Korallenriffe und exotische Fische auf Mauritius gesehen.,I've seen coral reefs and exotic fish in Mauritius.
Mauritius ist ein beliebtes Touristenziel.,Mauritius is a popular tourist destination.
"Ich hatte eine Leistenbruchoperation, als ich ein Kind war.",I've had a hernia operation when I was a child.
In Persien reisen Menschen auf fliegenden Teppichen.,In Persia people travel by magic carpets.
Sardinien ist eine autonome Region Italiens.,Sardinia is an autonomous region of Italy.
Früher gab es einen Sklavenmarkt in Sansibar.,There used to be a slave market in Zanzibar.
Ramallah ist eine palästinensische Stadt im Westjordanland.,Ramallah is a Palestinian city in the West Bank.
"Die Evolutionstheorie besagt, dass sich Arten im Laufe der Zeit durch Mutation ändern.",The theory of evolution states that species change over time via mutation.
Ein russischer Waffenhändler wurde zu 25 Jahren Gefängnis verurteilt.,A Russian arms dealer was sentenced to 25 years in jail.
"Bedaure nicht, älter zu werden - es ist ein Privileg, das vielen nicht vergönnt ist.",Do not regret growing older - it is a privilege denied to many.
Sie wurde für einen Unfall mit Fahrerflucht zu sieben Jahren Gefängnis verurteilt.,She was sentenced to seven years in prison for a hit-and-run accident.
Ihre Harnwegsinfektion wurde mit Antibiotika auskuriert.,Her urinary tract infection was cured with antibiotics.
"Einige Wissenschaftler glauben, dass ein Asteroid die Dinosaurier ausgelöscht hat.",Some scientists believe that an asteroid wiped out the dinosaurs.
Was ist der Schmelzpunkt von Stahl?,What is the melting point of steel?
Letztes Jahr hat sie ihre Bekehrung zum Hinduismus bekannt gegeben.,Last year she announced her conversion to Hinduism.
Der Koran ist in 114 Suren unterteilt.,The Koran is divided into 114 Suras.
Diese Meerjungfrau-Statue ist eine Touristenattraktion in Kopenhagen.,This mermaid statue is a tourist attraction in Copenhagen.
Welches historische Ereignis fand 1789 statt? Die Französische Revolution.,Which historic event took place in 1789? The French Revolution.
